#logger output
save_dir: GRU_sta_euler_b20_f15
epoch: 0/300, batch: 0/3, train loss: 0.9804237484931946, cal times: 15 compute efficiency: 1.15%, process time: 0.23s, 
epoch: 0/300, batch: 1/3, train loss: 0.9058338403701782, cal times: 15 compute efficiency: 95.90%, process time: 0.17s, 
epoch: 0/300, batch: 2/3, train loss: 0.9761276245117188, cal times: 15 compute efficiency: 98.89%, process time: 0.15s, 
Test in Epoch 0000 | forward len 0015 | call times 15 | Time 14.97                             | pre 0.00-0.0% | forward 0.13-0.9% | eval 14.84-99.1%                             | val error13.14 | test error 20.24
Test in Epoch 0000 | forward len 0050 | call times 50 | Time 7.90                             | pre 0.00-0.0% | forward 0.47-6.0% | eval 7.43-94.0%                             | val error7.42 | test error 8.72
Test in Epoch 0000 | forward len 0125 | call times 125 | Time 4.74                             | pre 0.00-0.0% | forward 1.11-23.4% | eval 3.63-76.6%                             | val error2.65 | test error 3.70
epoch: 1/300, batch: 0/3, train loss: 0.9109660387039185, cal times: 15 compute efficiency: 0.97%, process time: 0.19s, 
epoch: 1/300, batch: 1/3, train loss: 0.9259147047996521, cal times: 15 compute efficiency: 98.50%, process time: 0.19s, 
epoch: 1/300, batch: 2/3, train loss: 0.94339519739151, cal times: 15 compute efficiency: 98.30%, process time: 0.20s, 
epoch: 2/300, batch: 0/3, train loss: 0.9016119837760925, cal times: 15 compute efficiency: 1.02%, process time: 0.20s, 
epoch: 2/300, batch: 1/3, train loss: 0.8908278346061707, cal times: 15 compute efficiency: 97.16%, process time: 0.17s, 
epoch: 2/300, batch: 2/3, train loss: 0.9286864995956421, cal times: 15 compute efficiency: 98.63%, process time: 0.19s, 
epoch: 3/300, batch: 0/3, train loss: 0.899010419845581, cal times: 15 compute efficiency: 1.11%, process time: 0.22s, 
epoch: 3/300, batch: 1/3, train loss: 0.863494336605072, cal times: 15 compute efficiency: 97.07%, process time: 0.18s, 
epoch: 3/300, batch: 2/3, train loss: 0.8076585531234741, cal times: 15 compute efficiency: 98.59%, process time: 0.16s, 
epoch: 4/300, batch: 0/3, train loss: 0.8810160160064697, cal times: 15 compute efficiency: 1.81%, process time: 0.37s, 
epoch: 4/300, batch: 1/3, train loss: 0.8437156677246094, cal times: 15 compute efficiency: 98.29%, process time: 0.22s, 
epoch: 4/300, batch: 2/3, train loss: 0.8118539452552795, cal times: 15 compute efficiency: 98.65%, process time: 0.17s, 
epoch: 5/300, batch: 0/3, train loss: 0.825592041015625, cal times: 15 compute efficiency: 1.06%, process time: 0.20s, 
epoch: 5/300, batch: 1/3, train loss: 0.8664924502372742, cal times: 15 compute efficiency: 41.54%, process time: 0.19s, 
epoch: 5/300, batch: 2/3, train loss: 0.7989728450775146, cal times: 15 compute efficiency: 98.73%, process time: 0.15s, 
epoch: 6/300, batch: 0/3, train loss: 0.8320523500442505, cal times: 15 compute efficiency: 0.99%, process time: 0.20s, 
epoch: 6/300, batch: 1/3, train loss: 0.8292433619499207, cal times: 15 compute efficiency: 96.83%, process time: 0.18s, 
epoch: 6/300, batch: 2/3, train loss: 0.8044458031654358, cal times: 15 compute efficiency: 98.80%, process time: 0.17s, 
